Type	R2_Big	R4_Big	R7_Big	R2_Small	R4_Small	R7_Small
"K00260_gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]"	0.017033339	0.278753601	0.539076099	0.653212514	2.069518061	1.41725456
"K00261_GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"	1.220892249	1.445448514	0.94792362	2.248898871	3.162432963	3.676520591
"K00262_E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"	1.874307833	1.787460475	1.757699625	2.532843521	3.612329198	3.75709374
K00265_gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	5.501988901	5.266405995	5.324045506	4.716147468	4.774793978	4.896079861
K00266_gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]	5.498201751	5.26263479	5.320268206	4.718371681	4.809915767	4.95082874
K00360_nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	1.195068996	0.875061263	1.287577809	2.457972681	3.463900451	3.630022258
K00362_nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	5.216380143	4.980810266	5.038425183	4.430429582	4.485069914	4.600521093
K00363_nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	2.033008795	1.841532817	1.83478723	2.848699055	3.928609331	4.15148
K00366_nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	5.188792833	4.95318705	5.010853922	4.391523125	4.31440238	4.380204727
K00368_nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	5.188824128	4.953150238	5.010891492	4.392507721	4.326183483	4.398868059
"K00370_narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"	1.064223931	1.394835862	0.965652387	1.539084502	3.221123334	3.429865701
"K00371_narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"	1.064223931	1.390515616	0.965652387	1.530519856	3.221438503	3.429636128
K00372_nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	5.208683655	4.973092021	5.030740275	4.421187231	4.448563557	4.553552479
"K00374_narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"	1.064223931	1.390515616	0.965652387	1.530519856	3.227339085	3.439301849
"K00459_ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"	6.045307019	5.809666003	5.867354878	5.250734966	5.211245536	5.291939375
K00926_arcC; carbamate kinase [EC:2.7.2.2]	1.703892954	1.739651444	1.462098381	1.741387992	3.055780257	3.350882507
K01455_E3.5.1.49; formamidase [EC:3.5.1.49]	5.325636949	5.089957284	5.147691882	4.528691042	4.46982377	4.538259519
K01501_E3.5.5.1; nitrilase [EC:3.5.5.1]	1.85388065	1.738780558	1.578065884	1.975725072	3.156646982	3.349470593
"K01673_cynT, can; carbonic anhydrase [EC:4.2.1.1]"	5.596582828	5.360962689	5.418651857	4.815188014	4.885359418	5.015672165
K01674_cah; carbonic anhydrase [EC:4.2.1.1]	5.188840896	4.953187806	5.010893057	4.391741246	4.322580161	4.394599631
K01725_cynS; cyanate lyase [EC:4.2.1.104]	5.188957211	4.953421158	5.010983432	4.39480386	4.34281442	4.44727827
"K01915_glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"	5.782060496	5.546522404	5.604112005	4.995925462	5.039337006	5.141686058
K02305_norC; nitric oxide reductase subunit C	5.188792833	5.011752392	5.010853922	4.391523125	4.31721417	4.385394436
K02567_napA; periplasmic nitrate reductase NapA [EC:1.7.99.-]	5.188792833	4.95318705	5.010853922	4.392180416	4.317398439	4.389635578
K02568_napB; cytochrome c-type protein NapB	5.188792833	4.95318705	5.010853922	4.392180416	4.317398439	4.389635578
K02586_nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	5.188796629	5.010942581	5.010853922	4.392973969	4.324146177	4.391485394
K02588_nifH; nitrogenase iron protein NifH	5.188796629	5.010942581	5.010853922	4.392973969	4.324146177	4.391485394
K02591_nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	5.188796629	5.010942581	5.010853922	4.392973969	4.324146177	4.391485394
K04561_norB; nitric oxide reductase subunit B [EC:1.7.2.5]	5.188824128	4.953150238	5.010891492	4.392203124	4.336130726	4.397565312
K10944_pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	0	0.593286067	0	1.032618761	2.192790397	2.384102408
K10945_pmoB-amoB; methane/ammonia monooxygenase subunit B	0	0.593286067	0	1.032618761	2.192790397	2.384102408
K10946_pmoC-amoC; methane/ammonia monooxygenase subunit C	0	0.593286067	0	1.032618761	2.192790397	2.384102408
