Type	R2_Big	R4_Big	R7_Big	R2_Small	R4_Small	R7_Small
K00010_iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase 	2.384254621	2.132948499	2.275848852	3.282883209	4.274452628	4.420402567
K00032_E1.1.1.43; phosphogluconate 2-dehydrogenase 	1.703892954	1.611829479	1.462098381	1.611829479	2.50034627	2.170349739
"K00033_PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase "	5.521094161	5.285431954	5.34319382	4.742043127	4.832045084	4.959923274
K00034_gdh; glucose 1-dehydrogenase 	5.189009685	4.953317201	5.011058757	4.399238171	4.394679042	4.47960765
"K00036_G6PD, zwf; glucose-6-phosphate 1-dehydrogenase "	5.378546958	5.142914369	5.20059251	4.602391596	4.732883223	4.863171568
K00090_ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase 	1.80685803	1.674861141	1.596047008	2.078983189	3.154154157	3.016677367
K00117_gcd; quinoprotein glucose dehydrogenase 	5.272855428	5.03718717	5.094870806	4.480389879	4.460361915	4.52879544
K00131_gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) 	1.703892954	1.611829479	1.462098381	1.7513561	2.620469199	2.881321876
"K00140_mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase "	5.609168501	5.373609514	5.431206487	4.823569647	4.881536991	4.991517726
"K00615_E2.2.1.1, tktA, tktB; transketolase "	5.912126328	5.676488607	5.734183153	5.122715046	5.128877264	5.257643797
"K00616_E2.2.1.2, talA, talB; transaldolase "	2.087379944	1.857809908	1.930842114	3.00202217	4.027419886	4.245641801
"K00850_pfkA, PFK; 6-phosphofructokinase 1"	1.696368197	1.527758753	1.810937942	2.9970973	3.99655983	4.219043327
"K00851_E2.7.1.12, gntK, idnK; gluconokinase"	5.18907378	4.953384365	5.011114914	4.407193798	4.479869639	4.634052995
"K00852_rbsK, RBKS; ribokinase "	5.438839106	5.203190565	5.260896867	4.650127375	4.672852593	4.758561412
K00874_kdgK; 2-dehydro-3-deoxygluconokinase 	5.189085762	4.953453337	5.011141995	4.407537978	4.490672568	4.644762205
"K00948_PRPS, prsA; ribose-phosphate pyrophosphokinase "	5.365097832	5.129511501	5.187143744	4.578730908	4.626494236	4.748502349
"K01053_E3.1.1.17, gnl, RGN; gluconolactonase "	6.006636276	5.770972499	5.828688516	5.210898736	5.152643918	5.233918828
"K01057_PGLS, pgl, devB; 6-phosphogluconolactonase "	5.189035901	4.953372422	5.011065531	4.403700876	4.458754709	4.581375227
K01083_E3.1.3.8; 3-phytase 	1.046495164	0.805500858	0.94792362	2.053155303	3.300082822	3.462425809
"K01092_E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase "	5.68185504	5.446248548	5.503899472	4.89305355	4.917022363	5.021723757
K01093_appA; 4-phytase / acid phosphatase	1.348891885	0.740362689	0.249877473	2.424307934	3.483215985	3.640112234
K01114_plc; phospholipase C	5.285834694	5.050109697	5.107949206	4.50405078	4.553837418	4.684952438
"K01619_deoC, DERA; deoxyribose-phosphate aldolase "	1.510752399	1.294686624	1.501333179	2.740173711	3.82200374	4.105658185
"K01621_xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase "	5.48986415	5.254167462	5.311960462	4.699589555	4.702843897	4.795160542
"K01623_ALDO; fructose-bisphosphate aldolase, class I "	5.188815271	5.087896008	5.0108607	4.394812451	4.354714299	4.426615349
"K01624_FBA, fbaA; fructose-bisphosphate aldolase, class II"	5.4879405	5.252324865	5.310038557	4.697872047	4.70991475	4.815817665
K01625_eda; 2-dehydro-3-deoxyphosphogluconate aldolase 	5.49812346	5.262489927	5.320197657	4.715800876	4.796006989	4.921318474
K01690_edd; phosphogluconate dehydratase 	1.897232932	1.674861141	1.596047008	2.47139549	3.633042514	3.726547947
"K01783_rpe, RPE; ribulose-phosphate 3-epimerase"	5.403512791	5.167899893	5.225565232	4.614672158	4.634082448	4.741870492
"K01803_TPI, tpiA; triosephosphate isomerase (TIM) "	5.189079118	4.953480342	5.011126454	4.406292112	4.489433355	4.607272178
K01807_rpiA; ribose 5-phosphate isomerase A 	5.189002603	4.953415791	5.011020991	4.399928693	4.399760974	4.504052741
K01808_rpiB; ribose 5-phosphate isomerase B	1.662247197	1.318480725	1.534821999	2.881945284	3.965016667	4.214530377
"K01810_GPI, pgi; glucose-6-phosphate isomerase"	2.001813765	1.788392579	1.809596008	2.902024537	3.990885592	4.230836628
K01835_pgm; phosphoglucomutase 	5.189055222	4.953378747	5.011121724	4.404526478	4.459499596	4.578503835
K01839_deoB; phosphopentomutase 	1.130976692	0.918554531	1.090963077	1.970950934	2.983999222	3.029923399
"K01858_INO1, ISYNA1; myo-inositol-1-phosphate synthase "	1.643289919	1.276921132	1.499933405	2.795003847	3.907492245	4.198706697
"K02446_glpX; fructose-1,6-bisphosphatase II "	1.294686624	1.124504225	1.358886204	2.480495609	3.618349744	3.827175166
K03335_iolE; inosose dehydratase 	1.978503689	1.749204714	1.805040092	2.78059305	3.842468148	4.013452806
