	R2	R4	R7
"K01195-ACO, acnA; aconitate hydratase [EC:4.2.1.3]"	4.453921559	4.519076454	4.635216327
"K01730-IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"	4.421618212	4.568720052	4.713360576
"K07713-galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"	4.417600711	4.546538537	4.701752291
K04516-nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	4.413268585	4.531342514	4.703472036
K01120-nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	4.41299661	4.526890846	4.696780752
K05776-nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	4.412956692	4.524269105	4.693141577
"K03150-ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"	4.412740119	4.476030674	4.601363191
"K06606-RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"	4.412607574	4.474674704	4.600083935
"K08092-rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]"	4.410128103	4.482026442	4.599726036
K01575-polA; DNA polymerase I [EC:2.7.7.7]	4.409645411	4.529124464	4.670068792
K00376-polA; DNA polymerase I [EC:2.7.7.7]	4.409645411	4.529124464	4.670068792
K01884-polA; DNA polymerase I [EC:2.7.7.7]	4.409645411	4.529124464	4.670068792
"K01590-AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"	4.409562315	4.484038108	4.61115661
"K00227-sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	4.409497271	4.500544844	4.621943043
"K09011-sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	4.409497271	4.500544844	4.621943043
"K03737-sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	4.409497271	4.500544844	4.621943043
"K01639-sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	4.409497271	4.500544844	4.621943043
K01787-ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	4.409344497	4.477791043	4.602732001
K05535-ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	4.409344497	4.477791043	4.602732001
K00317-tatA; sec-independent protein translocase protein TatA	4.40922687	4.509307075	4.629448139
"K00720-E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]"	4.408220819	4.499153222	4.630452497
"K00801-RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"	4.408169513	4.498896515	4.626175111
"K07714-IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"	4.407476897	4.49087461	4.637392041
"K01917-phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"	4.407367748	4.447941408	4.662826863
"K01230-gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"	4.406930543	4.482668453	4.607815425
"K07664-kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"	4.406766808	4.4807517	4.601197347
K00284-murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl [EC:2.4.1.227]	4.406364198	4.48539361	4.612809903
K04110-murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl [EC:2.4.1.227]	4.406364198	4.48539361	4.612809903
"K00364-TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"	4.406292112	4.489433355	4.607272178
"K11329-TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"	4.406292112	4.489433355	4.607272178
"K00983-TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"	4.406292112	4.489433355	4.607272178
"K03918-YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]"	4.405918241	4.475870772	4.613350423
"K02686-purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"	4.405448681	4.472673556	4.59891518
"K01521-murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"	4.405254313	4.472282956	4.595858
"K02080-RP-S4, rpsD; small subunit ribosomal protein S4"	4.405253508	4.484990188	4.620090872
