id	Growth_stages	WU	Group
1	R2_b	0.002457024	Big
2	R2_b	0.002475664	Big
3	R2_b	0.000798927	Big
4	R2_b	0.002257341	Big
5	R2_b	0.000580603	Big
6	R2_b	0.000218324	Big
7	R4_b	0.002390554	Big
8	R4_b	0.00049423	Big
9	R4_b	0.000304697	Big
10	R4_b	0.000483189	Big
11	R4_b	0.00237445	Big
12	R4_b	0.000697713	Big
13	R4_b	0.000118917	Big
14	R4_b	0.000117109	Big
15	R4_b	0.000423614	Big
16	R4_b	0.002756699	Big
17	R4_b	0.000631451	Big
18	R4_b	0.000831725	Big
19	R4_b	0.000970385	Big
20	R4_b	0.000527028	Big
21	R4_b	0.000950643	Big
22	R7_b	0.002567981	Big
23	R7_b	0.000749419	Big
24	R7_b	0.001155201	Big
25	R7_b	0.000959007	Big
26	R7_b	0.000979851	Big
27	R7_b	0.001053987	Big
28	R7_b	0.000560446	Big
29	R7_b	0.001953683	Big
30	R7_b	0.00097213	Big
31	R7_b	0.001771057	Big
32	R7_b	0.001552734	Big
33	R7_b	0.00146636	Big
34	R7_b	0.001669843	Big
35	R7_b	0.001150281	Big
36	R7_b	0.001090909	Big
37	R7_b	0.002428125	Big
38	R7_b	0.000372058	Big
39	R7_b	0.000898376	Big
40	R7_b	0.000680052	Big
41	R7_b	0.000593679	Big
42	R7_b	0.000797162	Big
43	R7_b	0.000783922	Big
44	R7_b	0.00090189	Big
45	R7_b	0.001215841	Big
46	R7_b	0.002179368	Big
47	R7_b	0.000284558	Big
48	R7_b	0.000863898	Big
49	R7_b	0.000645574	Big
50	R7_b	0.000559201	Big
51	R7_b	0.000762684	Big
52	R7_b	0.000593097	Big
53	R7_b	0.000533725	Big
54	R7_b	0.000914062	Big
55	R7_b	0.000375068	Big
56	R2_s	0.021419285	Small
57	R2_s	0.009631796	Small
58	R2_s	0.00804988	Small
59	R2_s	0.40309528	Small
60	R2_s	0.111133782	Small
61	R2_s	0.403996116	Small
62	R2_s	0.116608478	Small
63	R2_s	0.39592406	Small
64	R2_s	0.0727475	Small
65	R2_s	0.453333716	Small
66	R2_s	0.41152336	Small
67	R2_s	0.449954607	Small
68	R2_s	0.02072623	Small
69	R2_s	0.007490815	Small
70	R2_s	0.006454507	Small
71	R2_s	0.404741196	Small
72	R2_s	0.112856667	Small
73	R2_s	0.405624328	Small
74	R2_s	0.117002333	Small
75	R2_s	0.397552273	Small
76	R2_s	0.072838229	Small
77	R2_s	0.454928019	Small
78	R2_s	0.413142721	Small
79	R2_s	0.45152971	Small
80	R2_s	0.021085982	Small
81	R2_s	0.007910676	Small
82	R2_s	0.006355531	Small
83	R2_s	0.405245146	Small
84	R2_s	0.113508637	Small
85	R2_s	0.406128279	Small
86	R2_s	0.117464849	Small
87	R2_s	0.398056224	Small
88	R2_s	0.073250788	Small
89	R2_s	0.455431969	Small
90	R2_s	0.413646672	Small
91	R2_s	0.452033661	Small
92	R2_s	0.020867659	Small
93	R2_s	0.008049336	Small
94	R2_s	0.006573854	Small
95	R2_s	0.405312994	Small
96	R2_s	0.113299119	Small
97	R2_s	0.406196127	Small
98	R2_s	0.117532696	Small
99	R2_s	0.398124071	Small
100	R2_s	0.073151335	Small
101	R2_s	0.455499817	Small
102	R2_s	0.41371452	Small
103	R2_s	0.452101508	Small
104	R4_s	0.021000872	Small
105	R4_s	0.007605979	Small
106	R4_s	0.006310253	Small
107	R4_s	0.404940449	Small
108	R4_s	0.11320394	Small
109	R4_s	0.405823582	Small
110	R4_s	0.117180869	Small
111	R4_s	0.397751527	Small
112	R4_s	0.073075437	Small
113	R4_s	0.455127272	Small
114	R4_s	0.413341975	Small
115	R4_s	0.451728964	Small
116	R4_s	0.020984768	Small
117	R4_s	0.008029593	Small
