id	Growth_stages	WU
7	R2_Small	0.021419285
8	R2_Small	0.009631796
9	R2_Small	0.00804988
10	R2_Small	0.40309528
11	R2_Small	0.02072623
12	R2_Small	0.007490815
13	R2_Small	0.006454507
14	R2_Small	0.404741196
15	R2_Small	0.021085982
16	R2_Small	0.007910676
17	R2_Small	0.006355531
18	R2_Small	0.405245146
19	R2_Small	0.020867659
20	R2_Small	0.008049336
21	R2_Small	0.006573854
22	R2_Small	0.405312994
35	R4_Small	0.111133782
36	R4_Small	0.403996116
37	R4_Small	0.116608478
38	R4_Small	0.39592406
39	R4_Small	0.112856667
40	R4_Small	0.405624328
41	R4_Small	0.117002333
42	R4_Small	0.397552273
43	R4_Small	0.113508637
44	R4_Small	0.406128279
45	R4_Small	0.117464849
46	R4_Small	0.398056224
47	R4_Small	0.113299119
48	R4_Small	0.406196127
49	R4_Small	0.117532696
50	R4_Small	0.398124071
67	R7_Small	0.0727475
68	R7_Small	0.453333716
69	R7_Small	0.41152336
70	R7_Small	0.449954607
71	R7_Small	0.072838229
72	R7_Small	0.454928019
73	R7_Small	0.413142721
74	R7_Small	0.45152971
75	R7_Small	0.073250788
76	R7_Small	0.455431969
77	R7_Small	0.413646672
78	R7_Small	0.452033661
79	R7_Small	0.073151335
80	R7_Small	0.455499817
81	R7_Small	0.41371452
82	R7_Small	0.452101508
